column_name,percent_missing
Gene,0.0
IPA_BP,0.0
Gene_length,0.051387461459403906
Gene_type,0.051387461459403906
Chr,0.051387461459403906
Fallopian Tube_GTExTPM,7.6567317574511815
Heart - Atrial Appendage_GTExTPM,7.6567317574511815
Heart - Left Ventricle_GTExTPM,7.6567317574511815
Kidney - Cortex_GTExTPM,7.6567317574511815
Kidney - Medulla_GTExTPM,7.6567317574511815
Liver_GTExTPM,7.6567317574511815
Lung_GTExTPM,7.6567317574511815
Minor Salivary Gland_GTExTPM,7.6567317574511815
Muscle - Skeletal_GTExTPM,7.6567317574511815
Nerve - Tibial_GTExTPM,7.6567317574511815
Ovary_GTExTPM,7.6567317574511815
Pituitary_GTExTPM,7.6567317574511815
Prostate_GTExTPM,7.6567317574511815
Skin - Not Sun Exposed (Suprapubic)_GTExTPM,7.6567317574511815
Skin - Sun Exposed (Lower leg)_GTExTPM,7.6567317574511815
Small Intestine - Terminal Ileum_GTExTPM,7.6567317574511815
Spleen_GTExTPM,7.6567317574511815
Stomach_GTExTPM,7.6567317574511815
Testis_GTExTPM,7.6567317574511815
Thyroid_GTExTPM,7.6567317574511815
Uterus_GTExTPM,7.6567317574511815
Vagina_GTExTPM,7.6567317574511815
Whole Blood_GTExTPM,7.6567317574511815
Pancreas_GTExTPM,7.6567317574511815
Esophagus - Gastroesophageal Junction_GTExTPM,7.6567317574511815
Esophagus - Muscularis_GTExTPM,7.6567317574511815
Colon - Sigmoid_GTExTPM,7.6567317574511815
Adipose - Subcutaneous_GTExTPM,7.6567317574511815
Adipose - Visceral (Omentum)_GTExTPM,7.6567317574511815
Adrenal Gland_GTExTPM,7.6567317574511815
Artery - Aorta_GTExTPM,7.6567317574511815
Artery - Coronary_GTExTPM,7.6567317574511815
Artery - Tibial_GTExTPM,7.6567317574511815
Bladder_GTExTPM,7.6567317574511815
Brain - Amygdala_GTExTPM,7.6567317574511815
Brain - Anterior cingulate cortex (BA24)_GTExTPM,7.6567317574511815
Colon - Transverse_GTExTPM,7.6567317574511815
Brain - Cerebellar Hemisphere_GTExTPM,7.6567317574511815
Brain - Cerebellum_GTExTPM,7.6567317574511815
Brain - Cortex_GTExTPM,7.6567317574511815
Brain - Caudate (basal ganglia)_GTExTPM,7.6567317574511815
Brain - Hippocampus_GTExTPM,7.6567317574511815
Cervix - Endocervix_GTExTPM,7.6567317574511815
Brain - Frontal Cortex (BA9)_GTExTPM,7.6567317574511815
Cells - EBV-transformed lymphocytes_GTExTPM,7.6567317574511815
Cells - Cultured fibroblasts_GTExTPM,7.6567317574511815
Breast - Mammary Tissue_GTExTPM,7.6567317574511815
Cervix - Ectocervix_GTExTPM,7.6567317574511815
Brain - Spinal cord (cervical c-1)_GTExTPM,7.6567317574511815
Brain - Putamen (basal ganglia)_GTExTPM,7.6567317574511815
Brain - Nucleus accumbens (basal ganglia)_GTExTPM,7.6567317574511815
Brain - Hypothalamus_GTExTPM,7.6567317574511815
Brain - Substantia nigra_GTExTPM,7.6567317574511815
Esophagus - Mucosa_GTExTPM,7.6567317574511815
HIPred,25.334018499486124
pLI,25.436793422404932
SDI,31.757451181911613
opentargets_association_score,66.85508735868449
DGIdb_interaction_group_score,85.76567317574512
O_GlcNAc_Score,87.10174717368962
pharmgkb_drugged_gene,99.74306269270298
